"Ion Mode","Name","Formula","Molecular Weight","RT [Min]","Levels","Fish Coverage"
"Pos","","C45 H34 N4 O3 P2",740.21006,1.266,"MSI Level III; Level 4",NA
"Pos","","C22 H57 N9 O11 P2 S",717.33658,11.53,"MSI Level III; Level 4",NA
"Pos","","C43 H34 N8 O5 P2",804.21327,9.396,"MSI Level III; Level 4",NA
"Pos","","C70 H102 O3 P2 S",1084.70228,13.629,"MSI Level III; Level 4",NA
"Pos","","C23 H38 N O14 P",583.20236,13.025,"MSI Level III; Level 4",NA
"Pos","","C H4 N2 O6",140.0071,0.811,"MSI Level III; Level 4",NA
"Pos","","C4 H3 N5 O11 P2",358.93079,1.847,"MSI Level III; Level 4",NA
"Pos","","C6 H4 Cl O3 P",189.95954,0.728,"MSI Level III; Level 4",NA
"Pos","","C23 H53 N9 O10 P2",677.34061,9.157,"MSI Level III; Level 4",NA
"Pos","","C3 H7 N4 O P S",178.00746,0.048,"MSI Level III; Level 4",NA
"Pos","","C44 H52 N9 O5 P",817.38152,9.059,"MSI Level III; Level 4",NA
"Pos","","C69 H104 N3 O3 P3 S2",1179.67425,13.642,"MSI Level III; Level 4",NA
"Pos","","C45 H47 N8 O3 P3",840.29861,9.318,"MSI Level III; Level 4",NA
"Pos","","C26 H63 N8 O18 P3",868.34855,10.874,"MSI Level III; Level 4",NA
"Pos","","C40 H91 N10 O17 P S",1046.6038,13.054,"MSI Level III; Level 4",NA
"Pos","","C28 H48 Br O13 P S2",766.14658,13.967,"MSI Level III; Level 4",NA
"Pos","","C24 H54 N7 O3 P S2",583.34458,7.903,"MSI Level III; Level 4",NA
"Pos","","C45 H58 O7",710.41984,13.823,"MSI Level III; Level 4",NA
"Pos","","C40 H56 N O8 P",709.37485,8.176,"MSI Level III; Level 4",NA
"Pos","","C52 H100 N2 O11 P2 S3",1086.59653,13.045,"MSI Level III; Level 4",NA
"Pos","","C35 H67 N5 O16",813.45938,11.74,"MSI Level III; Level 4",NA
"Pos","","C74 H78 N O P S4",1155.47036,13.049,"MSI Level III; Level 4",NA
"Pos","","C32 H68 N9 O6 P3 S",799.42142,13.653,"MSI Level III; Level 4",NA
"Pos","","C78 H97 N2 O P3",1170.68137,13.949,"MSI Level III; Level 4",NA
"Pos","","C H4 Cl O9 P3 S4",415.76439,0.775,"MSI Level III; Level 4",NA
"Pos","","C35 H70 N O16 P3",853.39029,9.578,"MSI Level III; Level 4",NA
"Pos","","C29 H32 O3",428.23491,9.553,"MSI Level III; Level 4",NA
"Pos","","C25 H54 N10 O15 S",766.34928,12.228,"MSI Level III; Level 4",NA
"Neg","Y4XC05H603","C2 H4 O5 S",139.97794,0.773,"MSI Level III; Level 3","33.33"
"Neg","Xylitol","C5 H12 O5",152.06847,0.876,"MSI Level I; Level 3","9.09"
"Neg","Xanthine","C5 H4 N4 O2",152.03343,1.188,"MSI Level I; Level 3","10"
"Neg","VVW38EB8YS","C4 H5 N O5",147.01677,1.173,"MSI Level III; Level 3","7.95"
"Neg","Valylserine","C8 H16 N2 O4",204.11101,1.6,"MSI Level III; level 3",NA
"Neg","Valylglutamine","C10 H19 N3 O4",245.13756,1.692,"MSI Level III; level 3",NA
"Neg","val-ala","C8 H16 N2 O3",188.11609,1.695,"MSI Level III; level 3","25"
"Neg","Uridine monophosphate","C9 H13 N2 O9 P",324.03587,0.833,"MSI Level I; level 1","2.04"
"Neg","URIDINE 5'-DIPHOSPHO-N-ACETYLGALACTOSAMINE","C17 H27 N3 O17 P2",607.08157,0.708,"MSI Level I; Level 1",NA
"Neg","Uridine","C9 H12 N2 O6",244.06954,1.184,"MSI Level I; level 3",NA
"Neg","Uric acid","C5 H4 N4 O3",168.02834,1.185,"MSI Level I; Level 2",NA
"Neg","UDP-xylose","C14 H22 N2 O16 P2",536.04446,0.702,"MSI Level III; Level 3","4.55"
"Neg","tert-Butyl-(morpholin-2-ylmethyl)carbamat","C10 H20 N2 O3",216.14739,2.528,"MSI Level III; Level 3","20"
"Neg","tert-Butyl [(2S)-4-amino-1-hydroxy-4-oxobutan-2-yl]carbamate","C9 H18 N2 O4",218.12666,2.98,"MSI Level III; level 3",NA
"Neg","Tauropine","C5 H11 N O5 S",197.03579,1.182,"MSI Level III; level 3",NA
"Neg","Taurocholic acid","C26 H45 N O7 S",515.29167,12.939,"MSI Level III; Level 3","21.43"
"Neg","Taurine","C2 H7 N O3 S",125.01466,0.845,"MSI Level I; Level 1",NA
"Neg","sulfoacetaldehyde","C2 H4 O4 S",123.98303,0.763,"MSI Level III; level 3",NA
"Neg","Succinic acid","C4 H6 O4",118.02661,1.202,"MSI Level I; Level 1",NA
"Neg","Seryllysine","C9 H19 N3 O4",233.13756,1.345,"MSI Level III; Level 3","12.5"
"Neg","Saccharic acid","C6 H10 O8",210.03757,0.783,"MSI Level I; Level 3","48.15"
"Neg","S36O46U3EA","C5 H10 O3",118.06299,1.899,"MSI Level III; level 3",NA
"Neg","Ribulose 1,5-diphosphate","C5 H12 O11 P2",309.98548,0.683,"MSI Level I; Level 3","12.5"
"Neg","Reduced Glutathione","C10 H17 N3 O6 S",307.08381,1.142,"MSI Level I; Level 3","11.11"
"Neg","Pyroglutamic acid","C5 H7 N O3",129.04259,0.936,"MSI Level I; level 3",NA
"Neg","Propionic acid","C3 H6 O2",74.03678,1.195,"MSI Level III; Level 3","25"
"Neg","Phosphoenolpyruvic acid","C3 H5 O6 P",167.98237,0.781,"MSI Level III; level 3","11.11"
"Neg","Phosphocreatine","C4 H10 N3 O5 P",211.03581,0.838,"MSI Level I; Level 3","2.5"
"Neg","P-DMEA","C4 H12 N O4 P",169.05039,0.901,"MSI Level III; Level 3","5.26"
"Neg","Parapyruvic Acid","C6 H8 O6",176.03209,1.018,"MSI Level III; Level 3","29.79"
"Neg","Ovothiol A","C7 H11 N3 O2 S",201.0572,0.947,"MSI Level III; level 3",NA
"Neg","O-Sulfotyrosine","C9 H11 N O6 S",261.03071,9.045,"MSI Level III; level 3",NA
"Neg","O-Succinyl-L-homoserine","C8 H13 N O6",219.07429,1.202,"MSI Level I; level 3",NA
"Neg","OPHTHALMIC ACID","C11 H19 N3 O6",289.12739,1.179,"MSI Level I; Level 1","54.93"
"Neg","O-PHOSPHO-L-SERINE","C3 H8 N O6 P",185.00892,0.955,"MSI Level I; Level 3","10"
"Neg","OOW3025SR1","C11 H19 N3 O6 S",321.09946,1.184,"MSI Level III; Level 3","28.79"
"Neg","N-Pyruvoylglycine","C5 H7 N O4",145.03751,0.942,"MSI Level III; level 3",NA
"Neg","N-METHYL-L-GLUTAMATE","C6 H11 N O4",161.06881,1.015,"MSI Level I; level 3",NA
"Neg","N-Ethylglycocyamine","C8 H17 N O5",207.11067,1.091,"MSI Level III; level 3",NA
"Neg","N-Carbamoylvaline","C6 H12 N2 O3",160.08479,0.993,"MSI Level III; level 3",NA
"Neg","N-alpha-Acetyllysine","C8 H16 N2 O3",188.11609,1.303,"MSI Level I; Level 3","33.33"
"Neg","N-Acryloyl-L-glutamic acid","C8 H11 N O5",201.06372,1.176,"MSI Level III; level 3",NA
"Neg","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08004,1.181,"MSI Level III; Level 3","46.55"
"Neg","N-Acetyl-L-glutamic acid","C7 H11 N O5",189.06372,1.186,"MSI Level III; level 3","40.98"
"Neg","N-Acetyl-L-alanyl-L-alanine","C8 H14 N2 O4",202.09536,1.186,"MSI Level III; level 3",NA
"Neg","N-Acetylglutamine","C7 H12 N2 O4",188.07971,1.171,"MSI Level III; level 3",NA
"Neg","N-acetyl-beta-D-glucosaminylamine","C8 H16 N2 O5",220.10592,1.095,"MSI Level I; Level 3","7.69"
"Neg","N~2~-Acetyl-L-ornithine","C7 H14 N2 O3",174.10044,1.05,"MSI Level II; Level 3","39.08"
"Neg","N~2~-(Phosphonomethyl)-D-asparagine","C5 H11 N2 O6 P",226.03547,1.129,"MSI Level III; level 3",NA
"Neg","N-(3-Sulfopropyl)-L-alanine","C6 H13 N O5 S",211.05144,1.192,"MSI Level III; level 3",NA
"Neg","N-(3-Carboxypropanoyl)-5-hydroxynorvaline","C9 H15 N O6",233.08994,1.188,"MSI Level III; level 3",NA
"Neg","N-(2-Cyanoethyl)alanine","C6 H10 N2 O2",142.07423,1.146,"MSI Level III; Level 3","18.18"
"Neg","N-(2-Amino-3-methylpentanoyl)glutamine","C11 H21 N3 O4",259.15321,3.453,"MSI Level III; level 3",NA
"Neg","N(2)-succinyl-L-ornithine","C9 H16 N2 O5",232.10592,1.186,"MSI Level III; level 3",NA
"Neg","monoethyl succinate","C6 H10 O4",146.05791,3.096,"MSI Level III; level 3",NA
"Neg","Metirosine","C10 H13 N O3",195.08954,13.734,"MSI Level III; level 3",NA
"Neg","Methyl D-galactopyranuronate","C7 H12 O7",208.0583,0.865,"MSI Level III; level 3",NA
"Neg","Methyl bisulfate","C H4 O4 S",111.98303,0.762,"MSI Level III; level 3",NA
"Neg","Methyl 3-[(tert-butoxycarbonyl)amino]-L-alaninate","C9 H18 N2 O4",218.12666,1.695,"MSI Level III; level 3",NA
"Neg","Methionine sulfone","C5 H11 N O4 S",181.04088,0.965,"MSI Level III; level 3",NA
"Neg","meglumine","C7 H17 N O5",195.11067,1.251,"MSI Level III; level 3",NA
"Neg","Malondialdehyde","C3 H4 O2",72.02113,1.166,"MSI Level III; level 3",NA
"Neg","lys-leu","C12 H25 N3 O3",259.18959,1.786,"MSI Level III; Level 3","10.34"
"Neg","L-TRYPTOPHAN","C11 H12 N2 O2",204.08988,7.488,"MSI Level I; Level 1",NA
"Neg","L-Threonyl-L-lysine","C10 H21 N3 O4",247.15321,1.373,"MSI Level III; level 3",NA
"Neg","L-THREONINE","C4 H9 N O3",119.05824,0.901,"MSI Level I; Level 1",NA
"Neg","L-Threonic acid","C4 H8 O5",136.03717,0.877,"MSI Level II; level 3",NA
"Neg","L-Proline","C5 H9 N O2",115.06333,1.001,"MSI Level I; Level 3","10"
"Neg","L-Isoleucyl-L-alanine","C9 H18 N2 O3",202.13174,2.076,"MSI Level III; level 3",NA
"Neg","L-Hydroxyproline","C5 H9 N O3",131.05824,0.896,"MSI Level I; Level 3","4.55"
"Neg","L-HISTIDINE","C6 H9 N3 O2",155.06948,1.025,"MSI Level I; Level 1",NA
"Neg","L-GLUTAMIC ACID","C5 H9 N O4",147.05316,0.922,"MSI Level I; Level 1",NA
"Neg","L-gamma-Glutamyl-L-leucine","C11 H20 N2 O5",260.13722,3.199,"MSI Level III; level 3",NA
"Neg","Leu-Leu","C12 H24 N2 O3",244.17869,9.124,"MSI Level III; level 3",NA
"Neg","leu-ile","C12 H24 N2 O3",244.17869,9.392,"MSI Level III; level 3",NA
"Neg","Leucine","C6 H13 N O2",131.09463,1.449,"MSI Level I; Level 2",NA
"Neg","Leucine","C6 H13 N O2",131.09463,1.491,"MSI Level I; Level 2",NA
"Neg","L-CYSTEIC ACID","C3 H7 N O5 S",169.00449,0.772,"MSI Level I; Level 1",NA
"Neg","L-ASPARTATE","C4 H7 N O4",133.03751,0.877,"MSI Level I; Level 1",NA
"Neg","L-(+)-Valine","C5 H11 N O2",117.07898,1.083,"MSI Level I; level 3",NA
"Neg","L-(-)-Serine","C3 H7 N O3",105.04259,0.884,"MSI Level I; Level 3","33.33"
"Neg","L-(-)-methionine","C5 H11 N O2 S",149.05105,1.186,"MSI Level I; Level 3","25.64"
"Neg","Itaconic acid","C5 H6 O4",130.02661,1.186,"MSI Level I; level 3","18.18"
"Neg","Isoleucine","C6 H13 N O2",131.09463,1.37,"MSI Level I; Level 3","9.52"
"Neg","Isethionic acid","C2 H6 O4 S",125.99868,0.772,"MSI Level III; level 3",NA
"Neg","INOSINE","C10 H12 N4 O5",268.08077,1.188,"MSI Level I; Level 1",NA
"Neg","HYPOXANTHINE","C5 H4 N4 O",136.03851,1.196,"MSI Level I; level 3",NA
"Neg","Hydroxy acrylic acid","C3 H4 O3",88.01604,0.859,"MSI Level III; Level 3","42.86"
"Neg","HEXOSE","C6 H12 O6",180.06339,0.745,"MSI Level I; Level 1",NA
"Neg","Gly-Lys","C8 H17 N3 O3",203.12699,1.64,"MSI Level III; level 3",NA
"Neg","Gly-Gly-Ile","C10 H19 N3 O4",245.13756,3.153,"MSI Level III; level 3",NA
"Neg","Glycyl-L-lysylglycine","C10 H20 N4 O4",260.14846,1.365,"MSI Level III; level 3",NA
"Neg","Glycyl-L-leucyl-L-leucine","C14 H27 N3 O4",301.20016,11.457,"MSI Level III; level 3",NA
"Neg","Glycyl-L-leucine","C8 H16 N2 O3",188.11609,3.361,"MSI Level II; level 3",NA
"Neg","Glycyl-L-alanyl-L-lysine","C11 H22 N4 O4",274.16411,1.37,"MSI Level III; Level 3","23.81"
"Neg","Glycyl-L-alanyl-L-isoleucine","C11 H21 N3 O4",259.15321,1.609,"MSI Level III; level 3",NA
"Neg","GLYCEROL 2-PHOSPHATE","C3 H9 O6 P",172.01367,0.743,"MSI Level I; Level 1",NA
"Neg","Glyceraldehyde","C3 H6 O3",90.03169,0.857,"MSI Level I; level 3",NA
"Neg","Glutaric acid","C5 H8 O4",132.04226,1.469,"MSI Level I; Level 3","17.239999999999998"
"Neg","Glutamine","C5 H10 N2 O3",146.06914,0.897,"MSI Level I; level 2",NA
"Neg","Glu-Lys","C11 H21 N3 O5",275.14812,1.381,"MSI Level III; level 3",NA
"Neg","g-Glutamylcysteine","C8 H14 N2 O5 S",250.06234,1.135,"MSI Level III; level 3",NA
"Neg","gamma-Glu-Gly","C7 H12 N2 O5",204.07462,1.088,"MSI Level III; level 3",NA
"Neg","gamma-Aminobutyric acid","C4 H9 N O2",103.06333,1.083,"MSI Level I; Level 3","44.44"
"Neg","gaboxadol","C6 H8 N2 O2",140.05858,1.407,"MSI Level III; level 3",NA
"Neg","Fumaric acid","C4 H4 O4",116.01096,1.226,"MSI Level I; Level 3","13.79"
"Neg","Ethylmalonic acid","C5 H8 O4",132.04226,1.715,"MSI Level I; Level 3","25"
"Neg","Ethyl lactate","C5 H10 O3",118.06299,1.702,"MSI Level III; level 3",NA
"Neg","Ethyl 3,5-di-tert-butyl-4-hydroxybenzoate","C17 H26 O3",278.18819,13.695,"MSI Level III; level 3","25"
"Neg","EIH974RZ8V","C4 H12 N O6 P",201.04022,1.085,"MSI Level III; level 3",NA
"Neg","EGLU","C7 H13 N O4",175.08446,1.294,"MSI Level III; Level 3","24.05"
"Neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.04028,0.727,"MSI Level II; level 2",NA
"Neg","D-RIBOSE 5-PHOSPHATE","C5 H11 O8 P",230.01915,0.742,"MSI Level I; Level 1",NA
"Neg","D-PANTOTHENIC ACID","C9 H17 N O5",219.11067,1.481,"MSI Level I; Level 3","4.17"
"Neg","Dodecyl sulfate","C12 H26 O4 S",266.15518,13.35,"MSI Level II; level 2",NA
"Neg","DL-TYROSINE","C9 H11 N O3",181.07389,1.345,"MSI Level I; Level 3","27.03"
"Neg","DL-Ornithine","C5 H12 N2 O2",132.08988,1.188,"MSI Level I; Level 3","10"
"Neg","DL-Malic acid","C4 H6 O5",134.02152,1.007,"MSI Level I; Level 2",NA
"Neg","DL-Lysine","C6 H14 N2 O2",146.10553,1.128,"MSI Level I; level 3",NA
"Neg","DL-Lactic Acid","C3 H6 O3",90.03169,1.106,"MSI Level I; level 2",NA
"Neg","DL-Citrulline","C6 H13 N3 O3",175.09569,1.26,"MSI Level I; level 3",NA
"Neg","DL-Arginine","C6 H14 N4 O2",174.11168,1.07,"MSI Level I; level 2",NA
"Neg","DL-Alanine","C3 H7 N O2",89.04768,1.084,"MSI Level 1; Level 2",NA
"Neg","DL-2,6-Diaminopimelic acid","C7 H14 N2 O4",190.09536,1.085,"MSI Level III; level 3",NA
"Neg","Dimethyl hexopyranosiduronate","C8 H14 O7",222.07395,1.182,"MSI Level III; level 3",NA
"Neg","Dihydroxyacetone phosphate","C3 H7 O6 P",169.99802,0.739,"MSI Level I; Level 3","16.670000000000002"
"Neg","D-Glucono-delta-lactone","C6 H10 O6",178.04774,1.185,"MSI Level II; Level 3","63.64"
"Neg","D-FRUCTOSE 6-PHOSPHATE","C6 H13 O9 P",260.02972,0.726,"MSI Level I; Level 1",NA
"Neg","D-erythronic acid","C4 H8 O5",136.03717,0.787,"MSI Level III; level 3",NA
"Neg","D-Alanyl-D-alanine","C6 H12 N2 O3",160.08479,1.198,"MSI Level III; level 3",NA
"Neg","D-4-PHOSPHOERYTHRONIC ACID","C4 H9 O8 P",216.0035,0.745,"MSI Level III; level 3",NA
"Neg","D-(+)-Glucose","C6 H12 O6",180.06339,0.85,"MSI Level I; Level 3",NA
"Neg","D-(-)-Ribose","C5 H10 O5",150.05282,0.851,"MSI Level I; level 2",NA
"Neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06111,1.14,"MSI Level II; level 2",NA
"Neg","Creatine","C4 H9 N3 O2",131.06948,1.085,"MSI Level I; Level 2",NA
"Neg","Citric acid","C6 H8 O7",192.027,1.137,"MSI Level I; Level 2",NA
"Neg","Cholic acid","C24 H40 O5",408.28757,13.418,"MSI Level I; level 3",NA
"Neg","Boc-L-ornithine","C10 H20 N2 O4",232.14231,3.469,"MSI Level III; level 3",NA
"Neg","beta-D-Ethyl glucuronide","C8 H14 O7",222.07395,0.859,"MSI Level III; level 3",NA
"Neg","BES","C6 H15 N O5 S",213.06709,0.947,"MSI Level III; level 3",NA
"Neg","AZELAIC ACID","C9 H16 O4",188.10486,11.455,"MSI Level I; Level 1",NA
"Neg","asp-leu","C10 H18 N2 O5",246.12157,3.073,"MSI Level III; Level 3","39.799999999999997"
"Neg","Arachidonic acid","C20 H32 O2",304.24023,13.963,"MSI Level II; level 2",NA
"Neg","Aminolevulinic acid","C5 H9 N O3",131.05824,1.198,"MSI Level I; Level 3","60"
"Neg","alpha-Ketoglutaric acid oxime","C5 H7 N O5",161.03242,1.096,"MSI Level III; Level 3","36.36"
"Neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02152,1.172,"MSI Level I; level 3",NA
"Neg","alpha-ketoadipic acid","C6 H8 O5",160.03717,1.184,"MSI Level I; level 3",NA
"Neg","Alanylleucine","C9 H18 N2 O3",202.13174,2.906,"MSI Level III; level 3",NA
"Neg","Ala-Lys","C9 H19 N3 O3",217.14264,1.373,"MSI Level III; level 3",NA
"Neg","ALA-GLU","C8 H14 N2 O5",218.09027,1.197,"MSI Level III; level 3",NA
"Neg","ADENINE","C5 H5 N5",135.0545,1.383,"MSI Level I; level 1",NA
"Neg","aconitate A","C7 H8 O6",188.03209,1.194,"MSI Level III; level 3",NA
"Neg","9-Amino-9-oxononanoic acid","C9 H17 N O3",187.12084,9.646,"MSI Level III; Level 3","27.59"
"Neg","900T44YNC7","C5 H11 N O3",133.07389,0.997,"MSI Level III; Level 3","41.67"
"Neg","8RVEL9W5CF","C10 H12 O3",180.07864,13.409,"MSI Level III; Level 3","33.33"
"Neg","8-hydroxy-deoxyguanosine","C10 H13 N5 O5",283.09167,1.2,"MSI Level I; level 3",NA
"Neg","8F78EY72YL","C13 H18 O3",222.12559,13.472,"MSI Level III; Level 3","16.670000000000002"
"Neg","6VOC18EIBH","C14 H30 O4 S",294.18648,13.423,"MSI Level III; level 3",NA
"Neg","6-O-Phosphono-D-gluconic acid","C6 H13 O10 P",276.02463,0.729,"MSI Level III; level 3",NA
"Neg","6-O-Phosphono-D-fructosonic acid","C6 H11 O10 P",274.00898,0.727,"MSI Level III; level 3",NA
"Neg","5-dehydro-4-deoxy-D-glucaric acid","C6 H8 O7",192.027,0.845,"MSI Level III; level 3",NA
"Neg","5-Amino-1-pentanesulfonic acid","C5 H13 N O3 S",167.06161,0.941,"MSI Level III; level 3",NA
"Neg","56X032NVQL","C3 H7 N O4 S",153.00958,0.826,"MSI Level I; level 3",NA
"Neg","5-[(Ethylsulfonyl)amino]pentanoic acid","C7 H15 N O4 S",209.07218,1.185,"MSI Level III; level 3",NA
"Neg","4SWT01T54O","C6 H13 N O3",147.08954,1.124,"MSI Level III; level 3",NA
"Neg","4-Sulfamoylbutanoic acid","C4 H9 N O4 S",167.02523,0.871,"MSI Level III; level 3",NA
"Neg","4-Oxoproline","C5 H7 N O3",129.04259,1.185,"MSI Level II; level 3",NA
"Neg","4-Hydroxybutyric acid (GHB)","C4 H8 O3",104.04734,1.203,"MSI Level II; level 3",NA
"Neg","4-Hydroxy-2-oxoglutaric acid","C5 H6 O6",162.01644,0.827,"MSI Level III; level 3",NA
"Neg","4-Amino-4,6-dideoxyhexose","C6 H13 N O4",163.08446,1.082,"MSI Level III; level 3",NA
"Neg","4-Acetamidobenzoic acid","C9 H9 N O3",179.05824,10.18,"MSI Level II; level 2",NA
"Neg","4,6-Dihydrazino-2-methyl-5-nitropyrimidine","C5 H9 N7 O2",199.08177,1.492,"MSI Level III; level 3",NA
"Neg","4-(3-Tridecanyl)benzenesulfonic acid","C19 H32 O3 S",340.20722,13.532,"MSI Level III; level 3",NA
"Neg","3-UREIDOPROPIONATE","C4 H8 N2 O3",132.05349,0.875,"MSI Level I; level 1",NA
"Neg","3-Phosphonopropanoic acid","C3 H7 O5 P",154.00311,0.796,"MSI Level III; level 3",NA
"Neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99294,0.765,"MSI Level I; level 2",NA
"Neg","3-Oxocyclobutanecarboxylic acid","C5 H6 O3",114.03169,0.856,"MSI Level III; level 3",NA
"Neg","3-METHYGLUTARIC ACID","C6 H10 O4",146.05791,2.945,"MSI Level I; level 1",NA
"Neg","3-hydroxy-L-glutamic acid","C5 H9 N O5",163.04807,0.859,"MSI Level III; level 3",NA
"Neg","3-Hydroxy-5, 8-tetradecadiencarnitine","C21 H37 N O5",383.26717,13.669,"MSI Level III; level 3",NA
"Neg","3-Deoxytetronic acid","C4 H8 O4",120.04226,0.856,"MSI Level III; level 3",NA
"Neg","3-Aminopropane-1-sulfonic acid","C3 H9 N O3 S",139.03031,0.886,"MSI Level III; level 3",NA
"Neg","3678H27Z8L","C8 H17 N O4",191.11576,1.391,"MSI Level III; level 3",NA
"Neg","3-(2-Deoxypentofuranosyl)-3H-[1,2,3]triazolo[4,5-d]pyrimidine-5,7-diamine","C9 H13 N7 O3",267.10799,9.129,"MSI Level III; level 3",NA
"Neg","2-Oxo-4-sulfanylbutanoic acid","C4 H6 O3 S",134.00376,0.993,"MSI Level III; level 3",NA
"Neg","2-Methyl-2-propanyl (2-hydrazino-2-oxoethyl)methylcarbamate","C8 H17 N3 O3",203.12699,1.345,"MSI Level III; level 3",NA
"Neg","2-Hydroxy-6-oxo-2,4-heptadienoic acid","C7 H8 O4",156.04226,1.011,"MSI Level III; level 3",NA
"Neg","2-Hydroxy-4-oxo-2-octenedioic acid","C8 H10 O6",202.04774,1.001,"MSI Level III; level 3",NA
"Neg","2-Hydroxy-3-isopropylsuccinic acid","C7 H12 O5",176.06847,1.137,"MSI Level III; level 3",NA
"Neg","2-Hydroxy-3-butynoic acid","C4 H4 O3",100.01604,0.996,"MSI Level III; Level 3","20"
"Neg","2-Furoic acid","C5 H4 O3",112.01604,1.134,"MSI Level II; level 3",NA
"Neg","2-Deoxy-2-(methylamino)-D-glucose","C7 H15 N O5",193.09502,0.988,"MSI Level III; level 3",NA
"Neg","2-Deoxy-2-(ethylamino)-D-glucose","C8 H17 N O5",207.11067,1.277,"MSI Level III; level 3",NA
"Neg","2-Deoxy-2-(ethylamino)-D-glucose","C8 H17 N O5",207.11067,1.253,"MSI Level III; level 3",NA
"Neg","2-Deoxy-2-(dimethylamino)-alpha-D-glucopyranose","C8 H17 N O5",207.11067,1.115,"MSI Level III; level 3",NA
"Neg","2-Deoxy-1-O-phosphono-D-arabino-hexitol","C6 H15 O8 P",246.05045,0.748,"MSI Level III; level 3",NA
"Neg","2-Aminobutanoic acid","C4 H9 N O2",103.06333,0.922,"MSI Level III; Level 3","75"
"Neg","2-Amino-4-({2-[(2E)-4-ethoxy-4-oxo-2-butenoyl]hydrazino}sulfonyl)butanoic acid","C10 H17 N3 O7 S",323.07872,1.148,"MSI Level III; level 3",NA
"Neg","2-Amino-2-methylpropyl hydrogen sulfate","C4 H11 N O4 S",169.04088,0.957,"MSI Level III; level 3",NA
"Neg","2156QF7O8M","C4 H9 O7 P",200.00859,0.727,"MSI Level III; level 3",NA
"Neg","2-[(Ethoxycarbonyl)oxy]-3-hydroxysuccinic acid","C7 H10 O8",222.03757,0.871,"MSI Level III; level 3",NA
"Neg","2-[(2,3-Dihydro-1,4-benzodioxin-6-ylcarbonyl)amino]butanoic acid","C13 H15 N O5",265.09502,9.123,"MSI Level III; level 3",NA
"Neg","2,8-Diaminononanedioic acid","C9 H18 N2 O4",218.12666,1.327,"MSI Level III; level 3",NA
"Neg","2,6-Dioxoheptanedioic acid","C7 H8 O6",188.03209,1.012,"MSI Level III; level 3",NA
"Neg","2,5-Bis(2-methyl-2-propen-1-yl)hexanedioic acid","C14 H22 O4",254.15181,13.518,"MSI Level III; Level 3","42.86"
"Neg","2,3-Dihydroxy-4-oxobutyl dihydrogen phosphate","C4 H9 O7 P",200.00859,0.811,"MSI Level III; level 3",NA
"Neg","2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide","C8 H17 N O7",239.1005,0.944,"MSI Level III; level 3",NA
"Neg","2,2'-({2-[6-(Benzylsulfanyl)-9H-purin-9-yl]ethyl}imino)diethanol","C18 H23 N5 O2 S",373.15725,10.643,"MSI Level III; level 3",NA
"Neg","2-(Hydroxymethyl)-L-glutamic acid","C6 H11 N O5",177.06372,0.91,"MSI Level III; level 3",NA
"Neg","2-(Dimethylamino)ethanesulfonic acid","C4 H11 N O3 S",153.04596,0.93,"MSI Level III; level 3",NA
"Neg","2-(1,10-Phenanthrolin-2-ylcarbamoyl)benzoic acid","C20 H13 N3 O3",343.09569,7.466,"MSI Level III; level 3",NA
"Neg","1-Oxo-1,2,4-butanetricarboxylic acid","C7 H8 O7",204.027,1.008,"MSI Level III; level 3",NA
"Neg","1-O-Phosphonopentitol","C5 H13 O8 P",232.0348,0.764,"MSI Level III; level 3",NA
"Neg","1-alpha-D-galactosyl-sn-glycerol 3-phosphate","C9 H19 O11 P",334.0665,0.722,"MSI Level III; level 3",NA
"Neg","18-HEPE","C20 H30 O3",318.21949,13.695,"MSI Level III; level 3",NA
"Neg","1,3,5-Pentanetricarboxylic acid","C8 H12 O6",204.06339,1.008,"MSI Level III; level 3",NA
"Neg","02X1W97FWN","C5 H10 O3",118.06299,1.999,"MSI Level III; level 3",NA
"Neg","02GD87WMPH","C11 H23 N3 O3",245.17394,1.522,"MSI Level III; level 3",NA
"Neg","[4-(tert-butoxycarbonyl)morpholin-3-yl]acetic acid","C11 H19 N O5",245.12632,9.128,"MSI Level III; level 3",NA
"Neg","[(Butylimino)bis(methylene)]bis(phosphonic acid)","C6 H17 N O6 P2",261.05311,1.48,"MSI Level III; level 3",NA
"Neg",".alpha.-Aminoadipic acid","C6 H11 N O4",161.06881,1.182,"MSI Level I; level 3",NA
"Neg","(Z)-2-Butene-1,2,3-tricarboxylic acid","C7 H8 O6",188.03209,1.143,"MSI Level III; level 3",NA
"Neg","(R)-methylsuccinic acid","C5 H8 O4",132.04226,0.857,"MSI Level III; Level 3","33.33"
"Neg","(E)-Aconitic Acid","C6 H6 O6",174.01644,1.193,"MSI Level I; level 3",NA
"Neg","(E)-2-Butenyl-4-methyl-threonine","C9 H17 N O3",187.12084,9.452,"MSI Level III; Level 3","28.57"
"Neg","(2S)-2-Hydroxy-2-[(2S)-2-oxiranyl]ethyl methanesulfonate","C5 H10 O5 S",182.02489,1.184,"MSI Level III; level 3",NA
